,@timestamp,bytes,clientip,geoip.country_code3,httpversion,request,response,useragent.name,useragent.os,verb
0,"Jun 20, 2020 @ 14:46:10.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
1,"Jun 20, 2020 @ 14:46:09.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
2,"Jun 20, 2020 @ 14:46:08.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
3,"Jun 20, 2020 @ 14:46:07.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
4,"Jun 20, 2020 @ 14:46:06.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
5,"Jun 20, 2020 @ 14:46:05.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
6,"Jun 20, 2020 @ 14:46:04.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
7,"Jun 20, 2020 @ 14:46:03.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
8,"Jun 20, 2020 @ 14:46:02.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
9,"Jun 20, 2020 @ 14:46:01.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
10,"Jun 20, 2020 @ 14:46:00.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
11,"Jun 20, 2020 @ 14:45:59.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
12,"Jun 20, 2020 @ 14:45:58.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
13,"Jun 20, 2020 @ 14:45:57.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
14,"Jun 20, 2020 @ 14:45:56.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
15,"Jun 20, 2020 @ 14:45:55.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
16,"Jun 20, 2020 @ 14:45:54.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
17,"Jun 20, 2020 @ 14:45:53.000",126,127.0.0.1,unknown,1.0,*,200,Other,Debian,OPTIONS
18,"Jun 20, 2020 @ 14:45:53.000",0,103.224.146.167,IN,error,error,408,Other,Other,error
